Name       | CLASS | D-r  |Pix Size |N.of P-ls|Read-|Sw.|Gain|D. |D. |Prof |head|f  s |sw|dose
           |       | mm   |  mm     | x |   y |out  | T |    |b. |C. |err. |size|a  l |ap|key
           |       |      |         |   |     | s   | s |    |   |   |     |    |st ow|  |
----------------------------------------------------------------------------------------------
q4          q4      188.00 0.0816000 2304 2304   2.5   0 1.30 0.0 20.0 0.030  512 DC DA 0  0
q4-2x       q4-2x   188.00 0.1632000 1152 1152   2.5   0 1.30 0.0 20.0 0.030  512 DC DA 0  0
q210        q210    210.00 0.0512000 4096 4096   2.5   0 1.30 0.0 20.0 0.030  512 DC DA 0  0
q210-2x     q210-2x 210.00 0.1024000 2048 2048   2.5   0 1.30 0.0 20.0 0.030  512 DC DA 0  0
q315        q315    315.00 0.0512000 6144 6144   2.5   0 1.30 0.0 36.0 0.030  512 DC DA 0  0
q315-2x     q315-2x 315.00 0.1024000 3072 3072   2.5   0 1.30 0.0 10.0 0.030  512 DC DA 0  0
mar165      mar165  161.95 0.0794140 2048 2048   7.0   0 1.40 0.0 10.0 0.035 4096 DC DA 0  0
mar225      mar225  225.00 0.0730000 3072 3072   2.6   0 1.40 0.0 10.0 0.035 4096 DC DA 0  0
rax225      rax225  225.00 0.0730000 3072 3072 120.0  60 1.40 0.0 10.0 0.035 4096 DC DA 0  0
pck225      mar225  225.00 0.0730000 3072 3072   2.6   0 1.40 0.0 10.0 0.035  pck DC DA 0  0
mar325      mar325  325.02 0.0793500 4096 4096   2.6   0 1.40 0.0 10.0 0.035 4096 DC DA 0  0
mar2300     mpck150 345.00 0.1500000 2300 2300  80.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
image2300   mimg150 345.00 0.1500000 2300 2300  80.0   0 1.30 0.0 10.0 0.045 4600 AD AB 1  1
mar2000     mpck150 300.00 0.1500000 2000 2000  66.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
image2000   mimg150 300.00 0.1500000 2000 2000  66.0   0 1.30 0.0 10.0 0.045 4000 AD AB 1  1
mar1600     mpck150 240.00 0.1500000 1600 1600  48.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
image1600   mimg150 240.00 0.1500000 1600 1600  48.0   0 1.30 0.0 10.0 0.045 3200 AD AB 1  1
mar1200     mpck150 180.00 0.1500000 1200 1200  34.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
image1200   mimg150 180.00 0.1500000 1200 1200  34.0   0 1.30 0.0 10.0 0.045 2400 AD AB 1  1
mar3450     mpck100 345.00 0.1000000 3450 3450 108.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
image3450   mimg100 345.00 0.1000000 3450 3450 108.0   0 1.30 0.0 10.0 0.045 6900 AD AB 1  1
mar3000     mpck100 300.00 0.1000000 3000 3000  87.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
image3000   mimg100 300.00 0.1000000 3000 3000  87.0   0 1.30 0.0 10.0 0.045 6000 AD AB 1  1
mar2400     mpck100 240.00 0.1000000 2400 2400  62.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
image2400   mimg100 240.00 0.1000000 2400 2400  62.0   0 1.30 0.0 10.0 0.045 4800 AD AB 1  1
mar1800     mpck100 180.00 0.1000000 1800 1800  42.0   0 1.30 0.0 10.0 0.045 pck  DC DA 0  1
mx300       mar300  300.00 0.0730000 8192 8192   2.6   0 1.40 0.0 10.0 0.035 4096 DC DA 0  0
mx300hs     mar300  300.00 0.0781250 3840 3840 0.001   0 1.40 0.0 10.0 0.035 4096 DC DA 0  0
image1800   mimg100 180.00 0.1000000 1800 1800  42.0   0 1.30 0.0 10.0 0.045 3600 AD AB 1  1
raxis       raxis   300.00 0.1000000 3000 2990 180.0  60 1.30 0.0 17.0 0.045 6000 DC DA 1  0
ESRF_ID14-1  q210    209.72 0.102400  2048 2048  2.6   0 1.50 0.0 20.0 0.035  512 DC DA 0  0
ESRF_ID14-2  q4      188.01 0.081600  2304 2304  2.6   0 1.50 0.0 20.0 0.035  512 DC DA 0  0
ESRF_ID14-3  q4r     188.01 0.081600  2304 2304  2.6   0 1.50 0.0 20.0 0.035  512 DC DA 0  0
ESRF_ID14-4  q315    315.15 0.102588  3072 3072  2.5   0 1.50 0.0 39.0 0.050  512 DC DA 0  0
ESRF_BM14    mar225  224.84 0.073190  3072 3072  4.2   0 1.40 0.0 10.0 0.035 4096 DC DA 0  0
ESRF_ID23-1  q315    315.15 0.102588  3072 3072  2.5   0 1.50 0.0 40.0 0.050  512 DC DA 0  0
ESRF_ID23-2  mar225  225.04 0.073254  3072 3072  3.0   0 1.40 0.0 10.0 0.035 4096 DC DA 0  0
ESRF_ID29    q315    315.00 0.102588  3072 3072  2.5   0 1.50 0.0 40.0 0.050  512 DC DA 0  0
pilatus6m    6m      434.64 0.172000  2463 2527  0.004 0 0.50 0.0  0.0 0.030  pck DC DA 0  0
pilatus2m    2m      254.00 0.172000  1475 1679  0.004 0 0.50 0.0  0.0 0.020  pck DC DA 0  0
eiger9m     9m      245.20 0.075000  3110 3269  0.000003 0 0.50 0.0 0.0 0.030 pck DC DA 0  0
eiger16m    16m     327.80 0.075000 4150 4371  0.000003 0 0.50 0.0  0.0 0.030  pck DC DA 0  0
end

Name - unique name of the detector with given parameters. It is used in the command line.
CLASS - any combination of signs. It is used to identification equal type of a detector.

D-r - detector diameter
Read-out - detector readout time
Sw T -  switching plate time (for RAXIS)
D.b. - detector background
D.c. - detector dark current

 _____________
|B           C|
|             |
|    IMAGE    |
|             |
|             |
|A___________D|  DENZO Coordinate sistem X -> DA, Y -> DC


dose key - how to calculate dose
     0    dose = dose_initial*T_cal/T_initial
     1    dose = (dose_initial*d_Phi_initial/T_initial)*T_cal/d_Phi_cal
